"exercise","weight_delta"
0,-1.09978851936797
0,0.0800723836774237
0,0.053338879406127
0,-0.222126850885698
0,0.667864058057456
0,-0.25800181010794
0,1.03456267344427
0,-0.358406107646862
0,0.205507790036963
0,0
0,0
0,7.71754768920825
70.76,-0.0554670419697109
462.5,-1.94230153104568
60,-0.96201053401846
0,-1.14287441987029
0,-0.578043521477842
0,-2.6146511627907
0,-0.953249736720818
0,-0.524923498885636
0,-1.23125248431849
0,-1.15767052425965
0,-0.45045760772848
0,-0.542975140656799
0,-0.818859033678134
60,1.09223192738312
0,-2.49997912291176
0,-2.89710756034147
210,-1.85185068511966
0,-1.87515959808936
0,-2.01777067996127
0,-2.31376905840962
60,-1.11607527312403
60,-2.44543088035914
0,-0.912710912953091
0,-0.784909566399583
0,-1.23570717601292
0,-1.49606234629814
0,-1.16267751039174
120.02,1.02042423192605
270,-0.859373137885828
135,1.09053010678107
170,0
180,0.647235721989487
0,-0.876788597516588
0,-2.45454718544789
0,-2.46972238801983
0,-2.05447094568653
0,-0.0975411458019749
0,-0.0976363814471442
0,-1.36856850385216
0,-0.693724470120136
0,-0.199560175533749
0,1.39993496365129
0,-1.47920663996043
0,-1.3013666888085
0,-1.31841374468408
0,-1.64440330761274
0,-0.836005602550647
0,0.737700919251314
0,-1.35990102263541
0,-0.742277681989548
0,-1.70940674223466
0,-1.84780915637243
0,0.885877234529807
0,-0.43898868043246
0,-1.43336853759707
0,0.335625500139952
0,0
0,0.668882758112187
0,0.332158185910923
0,-0.938181720847439
0,-1.50417957302768
0,1.1878531231958
0,-0.391261859547473
0,-1.57131864080504
0,1.14027005999238
0,1.57828086688631
0,-1.55375819852137
0,-0.789140433443145
0,-1.36373372682485
0,1.26727759462356
0,-1.2514186465015
0,-0.921598707704504
0,0.348766116493775
0,-1.10071528930898
0,-0.0586349297575426
0,-0.703450441538409
0,0.118169927835658
0,0.707532760599669
0,-0.702561904958594
0,1.29716505934669
0,0.931317948033558
0,-0.346013722307937
0,-1.27314342287907
0,-0.820723958393913
0,0.236488863524422
0,0.825433222452298
0,0.760207982280515
0,2.03131127729309
0,-0.227485061103694
0,3.19268075329217
0,-3.31485185176164
0,1.94283857004462
0,-0.560547398756077
0,2.31112514027437
0,1.54275025204368
0,2.29696963172167
